name,rank_mode,bottom_n,hold_days,cost_bps_oneway,zscore_filter,rsi_filter,days,avg_breadth,turnover,sharpe_gross,ann_ret_gross,ann_vol_gross,win_rate_gross,sharpe_net,ann_ret_net,ann_vol_net,win_rate_net,beta_net_vs_eqw,alpha_ann_net_vs_eqw,r2_net_vs_eqw
combo_rank AND rsi<= 20.0,combo,10,3,10,,20.0,2503,24.750699161006793,0.31586931660842976,1.5880076113811905,0.5359259287776252,0.33748322422176347,0.5597283260087894,1.116405912061651,0.3767277932069768,0.3374469707987115,0.5401518178186177,0.8963512352785031,0.2361528754236702,0.25421140691376465
z_rank AND rsi<= 15.0,zscore,50,3,10,,15.0,2498,60.630904723779025,0.2987853074887892,1.5804910380329362,0.5070017383136943,0.32078748067100954,0.5696557245796637,1.1113061132405968,0.35641394333934456,0.320716262686644,0.5504403522818254,0.8569539431528344,0.2224727860610315,0.2572380985599032
combo_rank AND z<= -1.5,combo,5,3,10,-1.5,,2353,10.585210369740757,0.3309038107380649,1.5098685008917936,0.6270019191775011,0.41526922298674795,0.5414364640883977,1.1082907378683067,0.46022639856551645,0.41525782255540533,0.5227369315767105,0.8891294115286557,0.3148628182637541,0.16140113526826394
z_rank,zscore,20,3,10,,,2503,50.19256891729924,0.30739113064322815,1.619432732161176,0.49023530578526,0.30272038847271415,0.5773072313224131,1.1074486108096364,0.33531017594107293,0.30277718773418616,0.5593288054334798,0.897072546526111,0.1946221347912357,0.31627035764643163
combo_rank AND z<= -1.0,combo,5,3,10,-1.0,,2500,13.526,0.32546666666666674,1.5467841243556946,0.5756927732964178,0.37218689035628666,0.5532,1.1060804395432917,0.4116575732964177,0.372176885676049,0.5372,0.8957227230766427,0.2728312317358271,0.2088134776922368
combo_rank AND rsi<= 15.0,combo,20,3,10,,15.0,2498,38.753803042433944,0.30489102000190127,1.563155087548795,0.5240066912935283,0.3352237378539518,0.5668534827862289,1.104977484261503,0.3703416172125701,0.3351576140577045,0.5492393915132106,0.8793558184180871,0.23289906628036583,0.24802382196277017
rsi_rank AND z<= -1.5,rsi,20,3,10,-1.5,,2353,16.256268593285167,0.3297795087112032,1.5178608442443835,0.6098634258013292,0.4017913948527538,0.5520611984700382,1.104269113636055,0.4436545534108827,0.40176307381273224,0.531236719082023,0.851027093567332,0.30910334630711633,0.15705511685209494
combo_rank AND rsi<= 15.0,combo,10,3,10,,15.0,2498,23.64411529223379,0.3169605525690394,1.565588014677534,0.5419244012156295,0.3461475152690476,0.5580464371497198,1.1042342921301143,0.38217628272083365,0.3461007192446447,0.5424339471577262,0.882222684072321,0.24428564317598264,0.23410663885544425
z_rank AND rsi<= 20.0,zscore,30,3,10,,20.0,2503,56.718737514982024,0.3044972698861696,1.5924825655571229,0.48813125438748056,0.3065221968170873,0.5789053136236516,1.0918608165379167,0.3346646303648511,0.30650850849837175,0.5609268877347183,0.8642031767160898,0.19913149811319503,0.2864153612008489
combo_rank AND z<= -1.5,combo,50,3,10,-1.5,,2397,36.07717980809345,0.3286289432170935,1.5272126321879045,0.5506513614110903,0.3605597215511635,0.5398414685022945,1.0679243540790284,0.3850223740296752,0.3605333772556542,0.5252398831873175,0.8094561710885503,0.25107726780900225,0.17767144002077773
