symbol,trade_id,entry_date,exit_date,holding_days
APH,13,2023-07-21,2023-07-26,5
APH,14,2024-01-03,2024-01-08,5
APH,15,2024-06-03,2024-06-07,4
APH,16,2024-10-02,2024-10-07,5
ARKK,1,2016-01-28,2016-02-02,5
ARKK,2,2016-05-06,2016-05-11,5
ARKK,3,2016-11-01,2016-11-08,7
ARKK,4,2016-11-30,2016-12-05,5
ARKK,5,2016-12-22,2016-12-28,6
ARKK,6,2018-10-08,2018-10-11,3
ARKK,7,2019-01-23,2019-01-28,5
ARKK,8,2019-09-24,2019-09-27,3
ARKK,9,2020-12-29,2021-01-04,6
ARKK,10,2021-03-05,2021-03-11,6
ARKK,11,2021-03-29,2021-04-01,3
ARKK,12,2021-05-03,2021-05-11,8
ARKK,13,2021-07-14,2021-07-20,6
ARKK,14,2021-09-29,2021-10-04,5
ARKK,15,2021-11-10,2021-11-15,5
ARKK,16,2021-11-23,2021-11-29,6
ARKK,17,2021-12-03,2021-12-08,5
ARKK,18,2021-12-28,2022-01-03,6
ARKK,19,2022-08-17,2022-08-24,7
ARKK,20,2022-11-04,2022-11-14,10
ARKK,21,2022-12-23,2023-01-03,11
ARKK,22,2023-03-28,2023-03-31,3
ARKK,23,2023-08-09,2023-08-15,6
ARKK,24,2023-09-19,2023-09-27,8
ARKK,25,2024-03-05,2024-03-08,3
ARKK,26,2024-04-01,2024-04-05,4
ARKK,27,2024-05-10,2024-05-15,5
ARKK,28,2024-05-31,2024-06-05,5
ARKK,29,2025-02-25,2025-02-28,3
ARKK,30,2025-08-19,2025-08-25,6
ASML,1,2015-12-10,2015-12-17,7
ASML,2,2016-01-08,2016-01-13,5
ASML,3,2016-02-10,2016-02-16,6
ASML,4,2016-04-15,2016-04-21,6
ASML,5,2016-11-25,2016-11-30,5
ASML,6,2016-12-02,2016-12-07,5
ASML,7,2017-01-04,2017-01-09,5
ASML,8,2018-08-09,2018-08-15,6
ASML,9,2018-09-05,2018-09-12,7
ASML,10,2020-01-23,2020-01-28,5
ASML,11,2020-07-15,2020-07-20,5
ASML,12,2020-10-22,2020-10-27,5
ASML,13,2021-07-01,2021-07-07,6
ASML,14,2021-09-29,2021-10-07,8
ASML,15,2022-07-01,2022-07-11,10
ASML,16,2022-08-09,2022-08-12,3
ASML,17,2023-04-17,2023-04-20,3
ASML,18,2023-06-06,2023-06-12,6
ASML,19,2023-06-16,2023-06-26,10
ASML,20,2023-07-19,2023-07-25,6
ASML,21,2023-09-13,2023-09-18,5
ASML,22,2024-06-24,2024-06-27,3
ASML,23,2024-08-26,2024-08-29,3
ASML,24,2024-09-09,2024-09-12,3
ASML,25,2024-10-16,2024-10-21,5
ASML,26,2024-12-31,2025-01-06,6
ASML,27,2025-01-27,2025-01-31,4
ASML,28,2025-03-27,2025-04-03,7
ASML,29,2025-05-16,2025-05-21,5
ASML,30,2025-07-22,2025-07-25,3
AVGO,1,2016-01-05,2016-01-08,3
AVGO,2,2016-01-27,2016-02-01,5
AVGO,3,2016-04-19,2016-04-22,3
AVGO,4,2016-09-06,2016-09-14,8
AVGO,5,2016-11-14,2016-11-17,3
AVGO,6,2017-01-05,2017-01-10,5
AVGO,7,2017-04-12,2017-04-18,6
AVGO,8,2017-06-01,2017-06-06,5
